ProductTitle,Title,Description,UseArea,Usage,Drastic Ingredient,SkinType,Αμπούλες,Booster,Derma,Volume,Vegan,Cruelty-free,Image_URL
Cerion Hyserum Face Serum 30ml,"

    Cerion Hyserum Αντιγηραντικό Serum Προσώπου με Υαλουρονικό Οξύ για Lifting 30ml

  ","O Cerion HY Serum Serum Hyaluronic Acid είναι ένας συμπυκνωμένος αντιγηραντικός ορός προσώπου για άμεση τόνωση και αποκατάσταση της επιδερμίδας. Διαθέτει εξαιρετικά αυξημένο ποσοστό Υαλουρονικού οξέος (56%) για μοναδικά αποτελέσματα σύσφιξης, ανόρθωσης και αναζωογόνησης. Αποτελεί μία σύνθεση κατάλληλη και για την ανδρική επιδερμίδα, ειδικά μετά το ξύρισμα.","
          Περιοχή Χρήσης
          Πρόσωπο
        ","
          Δράση
          Αντιγήρανση, Lifting
        ","
          Δραστικό Συστατικό
          Υαλουρονικό Οξύ
        ","
          Τύπος Επιδερμίδας
          Αφυδατωμένη
        ","
          Αμπούλες
          Όχι
        ","
          Booster
          Όχι","
          Δερμοκαλλυντικό
          Όχι","
          Όγκος
          30 ml
        ","
          Vegan
          Όχι","
          Cruelty-free
          Όχι
        ",https://b.scdn.gr/images/sku_main_images/031741/31741677/xlarge_20230105154508_cerion_hyserum_serum_prosopou_30ml.jpeg
Skin1004 Madagascar Centella Probio-Cica Intensive Face Serum,"

    Skin1004 Madagascar Centella Probio-Cica Intensive Ενυδατικό Serum Προσώπου με Centella Asiatica για Σύσφιξη 50ml

  ","Το Skin1004 Madagascar Centella Probio-Cica Intensive Ενυδατικό Serum Προσώπου είναι ένα εντατικό προϊόν περιποίησης που έχει σχεδιαστεί για να προσφέρει βαθιά ενυδάτωση και να συμβάλει στη σύσφιξη της επιδερμίδας. Περιέχει εκχύλισμα Centella Asiatica από τη Μαδαγασκάρη, γνωστό για τις καταπραϋντικές και αναπλαστικές του ιδιότητες. Η σύνθεσή του με το...","
          Περιοχή Χρήσης
          Πρόσωπο
        ","
          Δράση
          Ενυδάτωση, Σύσφιξη
        ","
          Δραστικό Συστατικό
          Centella Asiatica
        ","
          Τύπος Επιδερμίδας
          Ξηρή, Κανονική, Μικτή
        ","
          Αμπούλες
          Όχι
        ","
          Booster
          Όχι","
          Δερμοκαλλυντικό
          Όχι","
          Όγκος
          50 ml
        ","
          Vegan
          Ναι","
          Cruelty-free
          Ναι
        ",https://d.scdn.gr/images/sku_main_images/057994/57994587/xlarge_20241216120940_skin1004_madagascar_centella_probio_cica_intensive_kataprayntiko_enydatiko_serum_prosopou_me_niasinamidi_50ml.jpeg
Vichy Mineral 89 Probiotic Fractions Face Booster 30ml,"

    Vichy Mineral 89 Probiotic Fractions Ενυδατικό & Αντιγηραντικό Booster Προσώπου με Νιασιναμίδη & Υαλουρονικό Οξύ για Αποτοξίνωση & Θρέψη 30ml

  ","Booster ανάπλασης, το οποίο είναι εμπλουτισμένο με Κλάσματα Προβιοτικών, καθώς και με αντιοξειδωτικές βιταμίνες όπως η Νιασιναμίδη, για να επανορθώνει ορατά την υγιή όψη της επιδερμίδας.","
          Περιοχή Χρήσης
          Πρόσωπο
        ","
          Δράση
          Αποτοξίνωση, Ενδυνάμωση, Ενυδάτωση, Θρέψη, Αντιγήρανση
        ","
          Δραστικό Συστατικό
          Υαλουρονικό Οξύ, Νιασιναμίδη
        ","
          Αμπούλες
          Όχι
        ","
          Booster
          Ναι
            
  
  
    
  




              
  
    
        Booster
      
        
      
    

      
        
  
    Ορός με συμπυκνωμένη σύνθεση που στοχεύει στην ενίσχυση της λειτουργίας του επιδερμιδικού φραγμού, με ένα βασικό συστατικό σε υψηλή συγκέντρωση.
  

      



        ","
          Δερμοκαλλυντι",,"
          Όγκος
          30 ml
        ","
          Vegan
          Όχι","
          Cruelty-free
          Όχι
        ",https://c.scdn.gr/images/sku_main_images/028821/28821744/xlarge_20260313115002_vichy_mineral_89_probiotic_fractions_enydatiko_antigirantiko_booster_prosopou_me_niasinamidi_yalouroniko_oxy_gia_apotoxinosi_threpsi_30ml.jpeg
Vt Cosmetics Reedle Shot 300 50ml Εντατικός Ενισχυτής Ενδυνάμωσης,"

    Vt Cosmetics Reedle Shot 300 50ml Εντατικός Ενισχυτής Ενδυνάμωσης

  ",Serum περιποίησης δέρματος που μεταμορφώνει τη ρουτίνα περιποίησης της επιδερμίδας. Χρησιμοποιεί συστατικά με προηγμένη τεχνολογία microneedle που διεγείρουν απαλά το δέρμα για να παρέχουν καλύτερη απορρόφηση και μεγαλύτερη αποτελεσματικότητα στα βαθύτερα στρώματα του δέρματος.,"
          Περιοχή Χρήσης
          Πρόσωπο
        ","
          Δράση
          Αντιγήρανση
        ","
          Δραστικό Συστατικό
          Υαλουρονικό Οξύ, Centella Asiatica
        ","
          Τύπος Επιδερμίδας
          Ευαίσθητη
        ","
          Αμπούλες
          Όχι
        ","
          Booster
          Όχι","
          Δερμοκαλλυντικό
          Όχι","
          Όγκος
          50 ml
        ","
          Vegan
          Όχι","
          Cruelty-free
          Όχι
        ",https://b.scdn.gr/images/sku_main_images/055768/55768062/xlarge_20240905145319_vt_cosmetics_reedle_shot_300_50ml_entatikos_enischytis_endynamosis.jpeg
Vichy Liftactiv Collagen Specialist 16 Face Serum 30ml,"

    Vichy Liftactiv Collagen Specialist 16 Ενυδατικό & Αντιγηραντικό Serum Προσώπου με Νιασιναμίδη & Πεπτίδια για Λάμψη & Σύσφιξη 30ml

  ","Ο ορός Liftactiv Collagen Specialist 16 Bonding αξιοποιεί την προηγμένη Τεχνολογία Co-Bonding για να ενισχύσει και να συνδέσει μεταξύ τους, τους διαφορετικούς τύπους κολλαγόνου, προσφέροντας σφριγηλή, λεία και αναζωογονημένη επιδερμίδα.","
          Περιοχή Χρήσης
          Πρόσωπο
        ","
          Δράση
          Αντιγήρανση, Ενδυνάμωση, Ενυδάτωση, Λάμψη, Σύσφιξη, Λείανση, Αναζωογόνηση
        ","
          Δραστικό Συστατικό
          Πεπτίδια, Νιασιναμίδη
        ","
          Τύπος Επιδερμίδας
          Όλοι οι Τύποι, Ευαίσθητη
        ","
          Αμπούλες
          Όχι
        ","
          Booster
          Όχι","
          Δερμοκαλλυντικό
          Ναι","
          Όγκος
          30 ml
        ","
          Vegan
          Όχι","
          Cruelty-free
          Όχι
        ",https://c.scdn.gr/images/sku_main_images/058322/58322572/xlarge_20260313115109_vichy_liftactiv_collagen_specialist_16_enydatiko_antigirantiko_serum_prosopou_me_niasinamidi_peptidia_gia_lampsi_sysfixi_30ml.jpeg
Beauty of Joseon Calming Face Serum 30ml,"

    Beauty of Joseon Calming Καταπραϋντικό & Ενυδατικό Serum Προσώπου με Green Tea & Panthenol για Αποτοξίνωση 30ml

  ",Αυτός ο ορός είναι σχεδιασμένος για να ανακουφίσει την ταλαιπωρία του δέρματος που προκαλείται από την έκθεση στην υπεριώδη ακτινοβολία και άλλους εξωτερικούς παράγοντες στρες.,"
          Περιοχή Χρήσης
          Πρόσωπο
        ","
          Δράση
          Αποτοξίνωση, Ενυδάτωση, Καταπράυνση
        ","
          Δραστικό Συστατικό
          Βιταμίνη B5
        ","
          Τύπος Επιδερμίδας
          Ευαίσθητη, Όλοι οι Τύποι
        ","
          Αμπούλες
          Όχι
        ","
          Booster
          Όχι","
          Δερμοκαλλυντικό
          Όχι","
          Όγκος
          30 ml
        ","
          Vegan
          Ναι","
          Cruelty-free
          Όχι
        ",https://d.scdn.gr/images/sku_main_images/031947/31947510/xlarge_20220322163950_beauty_of_joseon_green_tea_panthenol_serum_prosopou_30ml.jpeg
Vichy Liftactiv Retinol Specialist A+ Deep Wrinkles Face Serum 30ml,"

    Vichy Liftactiv Retinol Specialist A+ Deep Wrinkles Αντιγηραντικό Serum Προσώπου με Ρετινόλη για Λάμψη & Lifting 30ml

  ","Ο Vichy Liftactiv Retinol Specialist A+ Deep Wrinkles Serum είναι ένας καινοτόμος ορός με 0.2% καθαρή ρετινόλη, ενισχυμένος με κλάσματα προβιοτικών και βιοπεπτίδια για εντατική αντιγηραντική δράση.","
          Περιοχή Χρήσης
          Πρόσωπο
        ","
          Δράση
          Αντιγήρανση, Λείανση, Σύσφιξη, Λάμψη, Lifting
        ","
          Δραστικό Συστατικό
          Ρετινόλη
        ","
          Τύπος Επιδερμίδας
          Όλοι οι Τύποι
        ","
          Αμπούλες
          Όχι
        ","
          Booster
          Όχι","
          Δερμοκαλλυντικό
          Ναι","
          Όγκος
          30 ml
        ","
          Vegan
          Όχι","
          Cruelty-free
          Όχι
        ",https://a.scdn.gr/images/sku_main_images/038940/38940984/xlarge_20260313115027_vichy_liftactiv_retinol_specialist_a_deep_wrinkles_antigirantiko_serum_prosopou_me_retinoli_gia_lampsi_lifting_30ml.jpeg
Essence Face Essence 140ml,"

    Essence Ενυδατικό Essence Προσώπου με Centella Asiatica & Υαλουρονικό Οξύ 140ml

  ","Το Mary & May Vegan Blackberry Complex Cream Essence είναι ένα διφασικό essence που προσφέρει τα οφέλη μιας θρεπτικής κρέμας με το αναζωογονητικό αποτέλεσμα ενός essence. Χρησιμοποιεί την αποκλειστική τεχνολογία Double Phase Emulsion της MARY & MAY για γρήγορη απορρόφηση στο δέρμα. Η πλούσια κρέμα διαλύεται στο ενυδατικό essence, σταθεροποιώντας όλα τα...","
          Περιοχή Χρήσης
          Πρόσωπο
        ","
          Δράση
          Ενυδάτωση
        ","
          Δραστικό Συστατικό
          Υαλουρονικό Οξύ, Centella Asiatica
        ","
          Τύπος Επιδερμίδας
          Όλοι οι Τύποι
        ","
          Αμπούλες
          Όχι
        ","
          Booster
          Όχι","
          Δερμοκαλλυντικό
          Όχι","
          Όγκος
          140 ml
        ","
          Vegan
          Ναι","
          Cruelty-free
          Όχι
        ",https://b.scdn.gr/images/sku_main_images/048780/48780890/xlarge_20240916100528_essence_enydatiki_krema_prosopou_140ml.jpeg
La Roche Posay Pure Vitamin C12 Face Serum 30ml,"

    La Roche Posay Pure Vitamin C12 Αντιγηραντικό Serum Προσώπου με Βιταμίνη C & Σαλικυλικό Οξύ για Αποτοξίνωση & Λάμψη 30ml

  ","Το PURE VITAMIN C12 Serum είναι ένας ισχυρός αντιρυτιδικός και αντιοξειδωτικός ορός με 12% καθαρή βιταμίνη C, σχεδιασμένος να επαναφέρει τη λάμψη και να βελτιώνει την ομοιομορφία του δέρματος. Με κλινικά αποδεδειγμένη αποτελεσματικότητα, μειώνει τις ρυτίδες, λειαίνει την υφή και χαρίζει πιο νεανική, φωτεινή επιδερμίδα.","
          Περιοχή Χρήσης
          Πρόσωπο
        ","
          Δράση
          Αντιγήρανση, Λάμψη, Αποτοξίνωση, Λείανση, Αναζωογόνηση
        ","
          Δραστικό Συστατικό
          Βιταμίνη C, Σαλικυλικό Οξύ
        ","
          Τύπος Επιδερμίδας
          Όλοι οι Τύποι, Ευαίσθητη
        ","
          Αμπούλες
          Όχι
        ","
          Booster
          Όχι","
          Δερμοκαλλυντικό
          Ναι","
          Όγκος
          30 ml
        ","
          Vegan
          Όχι","
          Cruelty-free
          Όχι
        ",https://b.scdn.gr/images/sku_main_images/056742/56742327/xlarge_20260313115055_la_roche_posay_pure_vitamin_c12_antigirantiko_serum_prosopou_me_vitamini_c_salikyliko_oxy_gia_apotoxinosi_lampsi_30ml.jpeg
Geek & Gorogeous Face Serum 30ml,"

    Geek & Gorogeous Αντιγηραντικό Serum Προσώπου με Πεπτίδια για Λάμψη & Θρέψη 30ml

  ","Ο ορός Power Peptides περιέχει τέσσερις τεχνολογίες πεπτιδίων σε κλινικά αποδεδειγμένα ποσοστά. Συνεργάζονται για να συσφίξουν το δέρμα, αυξάνοντας την σφριγηλότητα και την ελαστικότητα της επιδερμίδας, συμβάλλοντας στη μείωση των ρυτίδων και παρέχοντας ισχυρή αντιγήρανση μέσω της ενεργοποίησης παραγωγής κολλαγόνου. Αξιοσημείωτη είναι η μεταξένια,...","
          Περιοχή Χρήσης
          Πρόσωπο
        ","
          Δράση
          Αντιγήρανση, Λάμψη, Λείανση, Θρέψη
        ","
          Δραστικό Συστατικό
          Πεπτίδια
        ","
          Τύπος Επιδερμίδας
          Όλοι οι Τύποι
        ","
          Αμπούλες
          Όχι
        ","
          Booster
          Όχι","
          Δερμοκαλλυντικό
          Όχι","
          Όγκος
          30 ml
        ","
          Vegan
          Ναι","
          Cruelty-free
          Ναι
        ",https://d.scdn.gr/images/sku_main_images/055765/55765414/xlarge_20240905134122_geek_gorogeous_antigirantiko_serum_prosopou_me_kollagono_gia_lampsi_30ml.jpeg
Cosrx Advanced Snail 96 Face Essence 100ml,"

    Cosrx Advanced Snail 96 Ενυδατικό & Αντιγηραντικό Essence Προσώπου με Έκκριμα Σαλιγκαριού για Λάμψη & Λεύκανση 100ml

  ",,"
          Περιοχή Χρήσης
          Πρόσωπο
        ","
          Δράση
          Αντιγήρανση, Ενυδάτωση, Λάμψη, Λείανση, Λεύκανση
        ","
          Δραστικό Συστατικό
          Έκκριμα σαλιγκαριού
        ","
          Τύπος Επιδερμίδας
          Όλοι οι Τύποι, Ευαίσθητη
        ","
          Αμπούλες
          Όχι
        ","
          Booster
          Όχι","
          Δερμοκαλλυντικό
          Όχι","
          Όγκος
          100 ml
        ","
          Vegan
          Όχι","
          Cruelty-free
          Ναι
        ",https://d.scdn.gr/images/sku_main_images/020012/20012974/xlarge_20230127110916_cosrx_advanced_snail_96_enydatiko_serum_prosopou_100ml.jpeg
VT Cosmetics Reedle Shot 100 Face Essence 50ml,"

    VT Cosmetics Reedle Shot 100 Αντιγηραντικό Essence Προσώπου με Centella Asiatica & Νιασιναμίδη 50ml

  ","Το VT Reedle Shot 100 είναι ένα essence προσώπου με τεχνολογία μικροβελόνων (microneedle) που προσφέρει ισχυρά ενεργά συστατικά για τη λείανση και ανανέωση της επιδερμίδας. Μειώνει την εμφάνιση των πόρων και ενισχύει τη δράση των συστατικών, συμβάλλοντας σε ένα υγιές και αψεγάδιαστο δέρμα. Η τεχνολογία Cica Reedle χρησιμοποιεί μικροσωματιδιακά συστατικά...","
          Περιοχή Χρήσης
          Πρόσωπο
        ","
          Δράση
          Αντιγήρανση
        ","
          Δραστικό Συστατικό
          Υαλουρονικό Οξύ, Νιασιναμίδη, Centella Asiatica
        ","
          Τύπος Επιδερμίδας
          Όλοι οι Τύποι
        ","
          Αμπούλες
          Όχι
        ","
          Booster
          Ναι","
          Δερμοκαλλυντικό
          Όχι","
          Όγκος
          50 ml
        ","
          Vegan
          Όχι","
          Cruelty-free
          Όχι
        ",https://a.scdn.gr/images/sku_main_images/055718/55718240/xlarge_20240903104715_vt_cosmetics_enydatiko_antigirantiko_essence_prosopou_me_yalouroniko_oxy_gia_leykansi_akmi_50ml.jpeg
